475095753358831616,12,467705878879924224,savage10463,136.48
475095747532943360,1,474567664723816448,Tynie214,136.40
475125955115872256,11,454078947731173376,VegasBorn,136.28
474733217249751040,4,66682221666648064,Sean12,136.20
475095763098005504,10,361212290688765952,hulliG2,136.06
474763411222163458,9,342478716657639424,gprocker,135.66
475095768659652608,7,237618157903147008,green0423,135.42
474763390904954880,12,473951051620282368,ConG4,135.36
474733190842413056,11,472158473950326784,ThunderHippos,134.90
474763403215237120,11,458510820255461376,Jackoman8802,134.86
475125941958340608,2,474771538537607168,failcons,134.66
474733214498287616,5,82218686555242496,iYelet,134.64
474733204784279553,11,385944109648674816,chefross,134.58
475125947075391490,11,469612845789605888,giest,134.54
475095770161213440,2,183393482558554112,TonyG91,134.40
474733204385820674,7,391013502740873216,nvrfrontn,134.24
474763405316583424,1,442850260126003200,nameloc12,133.96
475125953622700032,12,462083442125828096,andichrist,133.76
475095759801282560,9,432340600361074688,TCJones0,133.64
474763397863305216,1,468170407627714560,Sterling134,133.48
475125946853093378,11,470040909891760128,MojoAZ,133.36
475095764519874560,12,339736031853092864,DrangusKhan,133.28
474763421376573440,9,191756965783805952,mken58,133.26
475095772736516097,3,71055120930324480,KamaraMyChubb,133.26
475095756072546304,5,461210908853530624,oldkingkohl35,133.02
474733201277841408,4,450052075938639872,dms040893,132.90
474763409276006402,10,377866508199587840,OhLetsDudas,132.86
475095766017241088,2,333131588848074752,TeddyProsevelt,132.76
474733191425421312,4,471798446370582528,Delka15,132.56
474733209645477888,5,322146083549491200,JohnHunt,132.50
475125951101923333,4,467192839583821824,mnathlich,132.46
475095766558306304,9,331192950014889984,mdelbianco,132.44
474733194583732224,8,468623263514226688,sdkyleo1,132.36
475095761487392768,6,398032991084904448,WoodyC,132.26
475095749260996608,2,472288779248332800,cbm45,132.26
474733208588513280,11,330698163071508480,TheProcesss,132.16
475125955250089985,12,451979512649871360,MNoggle81,131.78
474733189550567424,3,473951358370705408,Hobblers,131.76
474733199293935619,5,460930828998799360,BURNTxxTOAST,131.72
475095766432477184,10,331671505702248448,miciahclay,131.68
475125968055300096,9,79743364807147520,spettit79,131.66
474763393677389824,3,470889281250914304,jgbeadles,131.52
474763406327410689,12,429465059240976384,mexmamba1113,131.50
474763403408175104,11,457926913457909760,Sybuu,131.44
474733202326417408,9,432578901391187968,tkelling,131.40
474763403647250432,2,457443726856286208,CeroMiedo,131.38
474733198832562177,11,462303031845711872,dpas28,131.36
474763411385741313,5,342318376263192576,dwilliamhood,131.34
475095769901166592,7,194200483760439296,tbutler74,131.20
475096485554286592,3,66232952056856576,MrMacD,131.18
475095763123171328,9,357708874096291840,austinwaldo,131.16
475095764930916352,10,339163386044502016,jp82091,131.14
474733208588513280,4,331209374661898240,JasonKyriakos6,130.86
474763403215237120,12,458499923965374464,Nickstixx,130.82
475125963663863808,8,323303632059510784,mistertoyota,130.82
